Number of flows,cheat,cheated
6,0.11343402300446159,-0.13217117152417115
7,0.03381315265914172,0.00617247922260891
8,0.004328458316016966,-0.008515174775588228
9,0.1451423225754794,-0.08404075547376226
10,0.0008620689655172414,-0.0003875968992248062
11,-0.037029503534566896,0.008729734957658941
12,-0.02771999191239292,0.0789654951386347
13,-0.010067458360935238,-0.001970538512866583
14,0.002946298099338916,-0.021922815140909626
15,0.0232938532500565,-0.024382508716921734
16,-0.026510897193861745,0.0006275097544000893
17,-0.038348107880066505,0.04582716792547323
18,-0.002012423073918793,0.01367142648069671
19,0.05373405313179117,-0.0007973755062622018
20,0.013971285293965782,0.010966171479767653
21,-0.009092488840120072,0.02170086351362262
22,-0.005353071926490257,0.006805662392337144
23,0.015245149078789304,-0.007089626703031132
24,0.07597135696496972,-0.05250708871233382
25,0.013935578132851567,0.0029595229370141993
26,0.03081274490321504,0.0713662310773982
27,0.021359346691988072,-0.034342376067143514
28,0.013673806250048335,-0.03102267190319066
29,-0.07146589309203578,0.014155476560407797
30,0.002652005971728577,-0.0066607089763934015
2,0.0006906077348066298,-0.00028153153153153153
3,-0.18483110261312938,-0.08616504854368932
4,0.007829692040218356,-0.06300315031503151
5,0.42494004270129565,0.05640575793772882
6,0.027332280037978732,-0.0357963132693265
7,-0.021260307781710102,0.07200248060586345
8,0.19649854399559363,-0.16710536774313117
9,-0.04848859459550312,0.03163518132402268
10,-0.06416244155640957,-0.1485876022759169
11,-0.008169132658649821,0.026916304448538098
12,0.00033734454425172165,1.100047058657334e-05
13,-0.07408392175094018,0.06078368177968975
14,-0.0032838656586191514,0.007562658314415632
15,-0.016600542613932318,-0.00023162080691619368
16,0.02389523940749897,-0.005341137925034074
17,0.34745833739467874,0.06750757772139959
18,0.002949233282003319,-0.01468788200616817
19,-0.006598124442339866,0.018637860313448905
20,0.1969980081599293,-0.005085412769922598
21,0.04278431936061658,0.023340207248723707
22,0.04374369135647812,-0.010373136812401837
23,-0.00048038108024078217,0.00577686066006543
24,-0.00045178030083567526,0.0030183236771337617
25,0.06083174470179397,0.02293307778306214
26,0.045869578353454704,-0.018006229380138374
